"state","year","month","unemployment_rate"
"AK",2015,"1","6.30"
"AK",2015,"2","6.30"
"AK",2015,"3","6.30"
"AK",2015,"4","6.30"
"AK",2015,"5","6.30"
"AK",2015,"6","6.20"
"AK",2015,"7","6.20"
"AK",2015,"8","6.20"
"AK",2015,"9","6.30"
"AK",2015,"10","6.30"
"AK",2015,"11","6.30"
"AK",2015,"12","6.40"
"AK",2016,"1","6.40"
"AK",2016,"2","6.50"
"AK",2016,"3","6.50"
"AK",2016,"4","6.60"
"AK",2016,"5","6.60"
"AK",2016,"6","6.70"
"AK",2016,"7","6.70"
"AK",2016,"8","6.70"
"AK",2016,"9","6.70"
"AK",2016,"10","6.70"
"AK",2016,"11","6.70"
"AK",2016,"12","6.70"
"AK",2017,"1","6.70"
"AK",2017,"2","6.60"
"AK",2017,"3","6.60"
"AK",2017,"4","6.60"
"AK",2017,"5","6.60"
"AK",2017,"6","6.60"
"AK",2017,"7","6.60"
"AK",2017,"8","6.60"
"AK",2017,"9","6.60"
"AK",2017,"10","6.60"
"AK",2017,"11","6.60"
"AK",2017,"12","6.60"
"AK",2018,"1","6.50"
"AK",2018,"2","6.40"
"AK",2018,"3","6.30"
"AK",2018,"4","6.10"
"AK",2018,"5","6.00"
"AK",2018,"6","6.00"
"AK",2018,"7","5.90"
"AK",2018,"8","5.90"
"AK",2018,"9","5.90"
"AK",2018,"10","6.00"
"AK",2018,"11","6.00"
"AK",2018,"12","6.10"
"AK",2019,"1","6.00"
"AK",2019,"2","5.90"
"AK",2019,"3","5.80"
"AK",2019,"4","5.70"
"AK",2019,"5","5.60"
"AK",2019,"6","5.60"
"AK",2019,"7","5.60"
"AK",2019,"8","5.60"
"AK",2019,"9","5.50"
"AK",2019,"10","5.40"
"AK",2019,"11","5.30"
"AK",2019,"12","5.20"
"AK",2020,"1","5.30"
"AK",2020,"2","5.40"
"AK",2020,"3","5.40"
"AK",2020,"4","11.60"
"AK",2020,"5","11.70"
"AK",2020,"6","11.20"
"AK",2020,"7","11.10"
"AK",2020,"8","8.60"
"AK",2020,"9","7.80"
"AK",2020,"10","7.20"
"AK",2020,"11","7.00"
"AK",2020,"12","7.10"
"AK",2021,"1","7.00"
"AK",2021,"2","7.00"
"AK",2021,"3","7.00"
"AK",2021,"4","7.10"
"AK",2021,"5","6.90"
"AK",2021,"6","6.80"
"AK",2021,"7","6.40"
"AK",2021,"8","6.20"
"AK",2021,"9","5.90"
"AK",2021,"10","5.70"
"AK",2021,"11","5.40"
"AK",2021,"12","5.40"
"AK",2022,"1","5.20"
"AK",2022,"2","4.90"
"AK",2022,"3","4.60"
"AK",2022,"4","4.40"
"AK",2022,"5","4.20"
"AK",2022,"6","4.10"
"AK",2022,"7","4.00"
"AK",2022,"8","3.80"
"AK",2022,"9","3.90"
"AK",2022,"10","4.00"
"AK",2022,"11","4.00"
"AK",2022,"12","4.00"
"AK",2023,"1","4.00"
"AK",2023,"2","4.00"
"AK",2023,"3","4.00"
"AK",2023,"4","4.00"
"AK",2023,"5","4.10"
"AK",2023,"6","4.20"
"AK",2023,"7","4.30"
"AK",2023,"8","4.40"
"AK",2023,"9","4.40"
"AK",2023,"10","4.50"
"AK",2023,"11","4.50"
"AK",2023,"12","4.50"
"AK",2024,"1","4.40"
"AK",2024,"2","4.40"
"AK",2024,"3","4.40"
"AK",2024,"4","4.50"
"AK",2024,"5","4.50"
"AK",2024,"6","4.60"
"AK",2024,"7","4.70"
"AK",2024,"8","4.70"
"AK",2024,"9","4.80"
"AK",2024,"10","4.70"
"AK",2024,"11","4.70"
"AK",2024,"12","4.70"
"AL",2015,"1","6.20"
"AL",2015,"2","6.10"
"AL",2015,"3","6.10"
"AL",2015,"4","6.10"
"AL",2015,"5","6.10"
"AL",2015,"6","6.10"
"AL",2015,"7","6.10"
"AL",2015,"8","6.10"
"AL",2015,"9","6.10"
